Product_Name,Product_Description,Product_URL,Product_Review,Product_Rating
ORTHO VISION™ Analyzer,"Introducing the ORTHO VISION™ Analyzer—the system with the power to transform transfusion medicine The ORTHO VISION™ Analyzer was developed to meet the unique needs of immunohematology labs through the proprietary benefits of Responsive Automation. This intuitive system brings you improvements with: 

Secure monitoring technologies 
Dynamic workflow management 
Interactive partnership with Ortho Clinical Diagnostics 
The ORTHO VISION™ Analyzer not only raises the bar in transfusion medicine, it redefines it. Only the ORTHO VISION™ Analyzer utilizes Responsive Automation to bring immunohematology labs the future of transfusion medicine.",https://www.selectscience.net/images/products/5768_ortho-vision.jpg,"Used for various applications of Immunohematology like blood grouping, Ab screen & cross match. It is fast & user friendly.",4.7
ORTHO VISION™ Analyzer,"Introducing the ORTHO VISION™ Analyzer—the system with the power to transform transfusion medicine The ORTHO VISION™ Analyzer was developed to meet the unique needs of immunohematology labs through the proprietary benefits of Responsive Automation. This intuitive system brings you improvements with: 

Secure monitoring technologies 
Dynamic workflow management 
Interactive partnership with Ortho Clinical Diagnostics 
The ORTHO VISION™ Analyzer not only raises the bar in transfusion medicine, it redefines it. Only the ORTHO VISION™ Analyzer utilizes Responsive Automation to bring immunohematology labs the future of transfusion medicine.",https://www.selectscience.net/images/products/5768_ortho-vision.jpg,"Instrument is very easy to use, very user friendly.  Very little downtime time.  It runs  Blood Types, Antibody Screens, T&S, IgG Crossmatches, Cordbloods, Antibody Panels, Antigen Typing and Dilutions.",5.0
ORTHO VISION™ Analyzer,"Introducing the ORTHO VISION™ Analyzer—the system with the power to transform transfusion medicine The ORTHO VISION™ Analyzer was developed to meet the unique needs of immunohematology labs through the proprietary benefits of Responsive Automation. This intuitive system brings you improvements with: 

Secure monitoring technologies 
Dynamic workflow management 
Interactive partnership with Ortho Clinical Diagnostics 
The ORTHO VISION™ Analyzer not only raises the bar in transfusion medicine, it redefines it. Only the ORTHO VISION™ Analyzer utilizes Responsive Automation to bring immunohematology labs the future of transfusion medicine.",https://www.selectscience.net/images/products/5768_ortho-vision.jpg,"This is a bi-directional blood bank instrument that we utilize to its fullest.  It will run Blood Types, Antibody Screens, T&S, IgG Crossmatches, Cordbloods, Antibody Panels, Antigen Typing and Dilutions.  The only thing it does not do is IS Crossmatches and Fetalscreens.  Easy to use and the customer service is top-notch.",4.7
ORTHO VISION™ Analyzer,"Introducing the ORTHO VISION™ Analyzer—the system with the power to transform transfusion medicine The ORTHO VISION™ Analyzer was developed to meet the unique needs of immunohematology labs through the proprietary benefits of Responsive Automation. This intuitive system brings you improvements with: 

Secure monitoring technologies 
Dynamic workflow management 
Interactive partnership with Ortho Clinical Diagnostics 
The ORTHO VISION™ Analyzer not only raises the bar in transfusion medicine, it redefines it. Only the ORTHO VISION™ Analyzer utilizes Responsive Automation to bring immunohematology labs the future of transfusion medicine.",https://www.selectscience.net/images/products/5768_ortho-vision.jpg,This instrument is easy to use and produces accurate results.  The only negative is the noise it makes during operation.  It is the mixing of the red cells that makes the rather loud noise.,4.3
VITROS® 250/350  Chemistry System,"Providing fast, accurate results is a necessity&mdash;even for small labs&mdash;with growing pressure to reduce errors and cut costs in the midst of increased demands and significant staffing shortages.&nbsp;The VITROS&reg;&nbsp;350 System is a compact chemistry system designed to be efficient, dependable, and, above all, easy to use as a primary, STAT, or backup system.

The VITROS&reg;&nbsp;250/350&nbsp; System menu of quality assays includes assays in these disease areas:


	Chemistry
	TDM
	Proteins
	Diabetes
",https://www.selectscience.net/images/products/5768_photo-header-VITROS-350.jpg,The Vitros 350 is a very user friendly. The set up was complicated however the customer support was unparalleled. They offer on site and training at their educational facility for key operators.,4.0
VITROS® 250/350  Chemistry System,"Providing fast, accurate results is a necessity&mdash;even for small labs&mdash;with growing pressure to reduce errors and cut costs in the midst of increased demands and significant staffing shortages.&nbsp;The VITROS&reg;&nbsp;350 System is a compact chemistry system designed to be efficient, dependable, and, above all, easy to use as a primary, STAT, or backup system.

The VITROS&reg;&nbsp;250/350&nbsp; System menu of quality assays includes assays in these disease areas:


	Chemistry
	TDM
	Proteins
	Diabetes
",https://www.selectscience.net/images/products/5768_photo-header-VITROS-350.jpg,It enables high-quality results. It is easy to use and I recommend it to others customers.,4.7
VITROS® 250/350  Chemistry System,"Providing fast, accurate results is a necessity&mdash;even for small labs&mdash;with growing pressure to reduce errors and cut costs in the midst of increased demands and significant staffing shortages.&nbsp;The VITROS&reg;&nbsp;350 System is a compact chemistry system designed to be efficient, dependable, and, above all, easy to use as a primary, STAT, or backup system.

The VITROS&reg;&nbsp;250/350&nbsp; System menu of quality assays includes assays in these disease areas:


	Chemistry
	TDM
	Proteins
	Diabetes
",https://www.selectscience.net/images/products/5768_photo-header-VITROS-350.jpg,"Easy to use, easy to train new users. great product support from Technical Specialists and Customer Service Representatives. Dependable service from qualified and knowledgeable Service Technicians. Overall a super instrument for general use.",5.0
VITROS® 250/350  Chemistry System,"Providing fast, accurate results is a necessity&mdash;even for small labs&mdash;with growing pressure to reduce errors and cut costs in the midst of increased demands and significant staffing shortages.&nbsp;The VITROS&reg;&nbsp;350 System is a compact chemistry system designed to be efficient, dependable, and, above all, easy to use as a primary, STAT, or backup system.

The VITROS&reg;&nbsp;250/350&nbsp; System menu of quality assays includes assays in these disease areas:


	Chemistry
	TDM
	Proteins
	Diabetes
",https://www.selectscience.net/images/products/5768_photo-header-VITROS-350.jpg,"Very easy to learn, use, and maintain. Few reagents; warm-up times for reagents and cartridges are reasonable for a 9-5 practice. Very reliable with minimal maintenance. Customer service is good once you get a person on the line, but long hold times are to be expected.",4.7
VITROS® 250/350  Chemistry System,"Providing fast, accurate results is a necessity&mdash;even for small labs&mdash;with growing pressure to reduce errors and cut costs in the midst of increased demands and significant staffing shortages.&nbsp;The VITROS&reg;&nbsp;350 System is a compact chemistry system designed to be efficient, dependable, and, above all, easy to use as a primary, STAT, or backup system.

The VITROS&reg;&nbsp;250/350&nbsp; System menu of quality assays includes assays in these disease areas:


	Chemistry
	TDM
	Proteins
	Diabetes
",https://www.selectscience.net/images/products/5768_photo-header-VITROS-350.jpg,This analyzer is super user friendly!  Calibration only has to be done every 6 months. It's very efficient. I have enjoyed operating this analyzer!,4.7
ORTHO ProVue,"Immunohematology The first fully automated blood bank instrument for the North American market to be based on the ID-MTS™ Gel Test™. Operational Improvement – Eliminate labor-intensive, time-consuming processes while increasing productivity via random access, discrete testing and continuous throughput. Cost Effectiveness – The instrument provides the ability to increase capacity while maintaining labor efficiencies Risk Management – ORTHO ProVue® enhances process control with dispense verification, bar-code tracking from start to finish, and multi-level password protection. Quality control features monitor reagent expiration, gel card integrity, and can reduce transcription errors due to a bi-directional interface. ID-MTS™ GEL Test™ Technology – With over 2,300 users in North America, this patented technology, based on column agglutination, can standardize your blood bank’s complete menu of testing.",https://www.selectscience.net/images/products/5768_Untitled-1.jpg,"I like it , but not so fast as if you do your ABO type using tube method but I like it that you can do up 24 patients at the time",5.0
